Timestamp,Nama LAZ / BAZ,SKALA,2. Total Capaian Penghimpunan Ramadan 1447 H / 2026 (Rupiah),3. Total Donatur/Muzakki Ramadan 1447 H / 2026 (Orang),4. Total Penyaluran Ramadan 1447 H / 2026 (Rupiah),5. Total Penerima Manfaat Ramadan 1447 H / 2026 (Orang),6. Wilayah Penyaluran Ramadan 1447 H / 2026 (Kab/Kota atau Provinsi),Provinsi,Kab/Kota,Negara,"Zakat Fitrah Ramadan 1447 H / 2026 (Rupiah, Orang Donatur/Muzakki)",Donatur Zakat Fitrah,"Infaq Sedekah Ramadan 1447 H / 2026 (Rupiah, Orang Donatur/Muzakki)",Donatur Infaq Sedekah,"Zakat Maal Ramadan 1447 H / 2026 (Rupiah, Orang Donatur/Muzakki)",Donatur Zakat Maal,1. Target Penghimpunan Ramadan 1446 H / 2025 (Tahun Lalu) (Rupiah),2. Total Capaian Penghimpunan Ramadan 1446 H / 2025 (Tahun Lalu) (Rupiah),3. Total Donatur/Muzakki Ramadan 1446 H / 2025 (Tahun Lalu) (Orang),4. Total Penyaluran Ramadan 1446 H / 2025 (Tahun Lalu) (Rupiah),5. Total Penerima Manfaat Ramadan 1446 H / 2025 (Tahun Lalu) (Orang),6. Wilayah Penyaluran Ramadan 1446 H / 2025 (Tahun Lalu) (Kab/Kota atau Provinsi),Pertumbuhan,Nilai Pertumbuhan
20/03/2026 9:06:22,LAZ As-Salam Timika,Kab/Kota,371.724.600,787,361.068.800,1938,Kab.Mimika,,,,144.987.000,,159.530.400,,67.207.200,,400.000.000,413.293.192,447,0,0,Kab.Mimika,-10%,-41.568.592
20/03/2026 9:07:53,LAZIS Sultan Agung,Provinsi,150.000.000,10,144.700.000,3000,"Se luruh kota semarang, demak",,,,50.000.000,,2.600.000,,379.323.699,,100.000.000,100.000.000,10,50.000.000,2000,Jateng,50%,50.000.000
